date,Mkt-RF,SMB,HML,RMW,CMA
2010-01-04,1.69,0.79,1.14,-0.17,0.21
2010-01-05,0.31,-0.42,1.22,-0.18,0.18
2010-01-06,0.13,-0.14,0.55,-0.05,0.20
2010-01-07,0.40,0.25,0.96,-0.66,0.22
2010-01-08,0.33,0.31,0.02,0.23,-0.40
2010-01-11,0.13,-0.14,-0.26,0.18,0.58
2010-01-12,-1.00,-0.36,-1.28,0.52,-0.03
2010-01-13,0.85,0.32,0.31,-0.34,0.09
2010-01-14,0.24,0.25,0.08,-0.30,-0.02
2010-01-15,-1.11,-0.19,-0.39,0.62,-0.15
2010-01-19,1.26,0.46,-0.20,-0.15,-0.03
2010-01-20,-0.98,-0.53,0.22,-0.55,-0.14
2010-01-21,-1.74,0.13,-1.09,-0.03,-0.45
2010-01-22,-2.13,0.49,-0.90,0.47,-0.01
2010-01-25,0.37,-0.22,0.34,0.08,0.11
2010-01-26,-0.45,-0.24,-0.45,0.30,-0.07
2010-01-27,0.53,0.27,0.20,-0.88,-0.01
2010-01-28,-1.18,-0.51,0.42,-0.03,0.05
2010-01-29,-0.97,-0.09,-0.42,-0.21,0.19
2010-02-01,1.39,-0.14,0.89,-0.14,0.68
2010-02-02,1.21,-0.28,0.64,0.29,0.68
2010-02-03,-0.49,0.01,-0.37,0.17,-0.09
2010-02-04,-3.14,-0.32,-1.19,0.45,-0.05
2010-02-05,0.29,-0.03,0.01,-0.65,-0.15
2010-02-08,-0.79,-0.06,-0.38,0.15,0.14
2010-02-09,1.33,0.36,0.57,0.31,0.40
2010-02-10,-0.17,0.30,0.30,-0.50,-0.07
2010-02-11,1.13,0.67,0.06,0.04,-0.18
2010-02-12,-0.07,0.96,0.14,-0.21,0.25
2010-02-16,1.75,-0.13,1.02,0.01,0.09
2010-02-17,0.49,0.16,0.10,0.21,-0.06
2010-02-18,0.62,0.09,0.02,0.24,-0.13
2010-02-19,0.28,0.09,0.48,-0.24,-0.01
2010-02-22,-0.05,0.01,0.60,-0.75,-0.11
2010-02-23,-1.24,0.18,-0.94,0.33,-0.02
2010-02-24,0.94,-0.27,0.55,-0.25,0.01
2010-02-25,-0.13,0.25,0.27,0.14,0.04
2010-02-26,0.12,-0.42,0.40,0.10,-0.04
2010-03-01,1.20,1.19,0.05,0.08,0.51
2010-03-02,0.32,0.62,0.17,-0.18,-0.07
2010-03-03,0.09,0.14,0.09,0.06,0.29
2010-03-04,0.37,0.17,0.20,-0.01,0.24
2010-03-05,1.43,0.52,0.62,-0.18,0.25
2010-03-08,0.02,0.14,0.30,-0.17,0.12
2010-03-09,0.21,0.26,-0.09,-0.01,0.02
2010-03-10,0.54,0.17,0.71,-0.49,0.30
2010-03-11,0.43,-0.06,-0.09,-0.19,0.13
2010-03-12,-0.02,0.01,-0.25,0.52,-0.05
2010-03-15,-0.02,-0.36,-0.50,0.17,-0.13
2010-03-16,0.78,-0.08,0.57,-0.17,0.19
2010-03-17,0.57,0.08,0.37,-0.12,0.07
2010-03-18,-0.10,-0.25,-0.59,0.11,0.07
2010-03-19,-0.61,-0.65,-0.62,0.05,-0.48
2010-03-22,0.67,0.84,0.03,0.12,0.09
2010-03-23,0.80,0.38,0.34,-0.02,0.12
2010-03-24,-0.60,-0.49,0.79,-0.39,0.06
2010-03-25,-0.26,-0.48,-0.26,-0.13,-0.04
2010-03-26,0.06,-0.08,0.27,0.04,0.13
2010-03-29,0.59,-0.05,0.20,0.26,0.13
2010-03-30,0.04,0.22,-0.43,0.32,-0.22
2010-03-31,-0.36,-0.45,0.20,-0.23,-0.08
2010-04-01,0.75,0.07,0.79,0.13,0.37
2010-04-05,0.95,1.13,0.85,-0.15,0.32
