epoch,method,estimator,train_loss_mean,bad_solves,exact_val_sharpe,exact_obj,support_size,beta_drift,psi_drift,window,rebalance,next_rebalance,cardinality,n_samples,epochs_requested
1,bigm,integer_forward_relaxed_backward_ste,-1.8179070464826164,0,0.0858446937621382,0.0001306641625444,10,0.2654276815699722,0.0019797990170428,0,2015-01-02,2015-04-01,10,32,4
2,bigm,integer_forward_relaxed_backward_ste,-1.9535192223023232,0,0.5451072617996628,0.0001348046585577,10,0.4813745093447534,0.0037359370670401,0,2015-01-02,2015-04-01,10,32,4
3,bigm,integer_forward_relaxed_backward_ste,-2.0986977791668457,0,1.1232358736943868,0.000138107539673,10,0.698111424602838,0.0054801205704086,0,2015-01-02,2015-04-01,10,32,4
4,bigm,integer_forward_relaxed_backward_ste,-2.2027914385573464,0,1.1895149345830396,0.0001383986731055,10,0.7187145187580696,0.0056540994526913,0,2015-01-02,2015-04-01,10,32,4
1,socp,integer_forward_relaxed_backward_ste,-1.8643314132064095,0,0.1075825995815758,0.0001311811786049,10,0.278217339807161,0.0029375568919848,0,2015-01-02,2015-04-01,10,32,4
2,socp,integer_forward_relaxed_backward_ste,-2.007727801598098,0,0.6597789369052258,0.0001354882605308,10,0.510988992503102,0.005169374933686,0,2015-01-02,2015-04-01,10,32,4
3,socp,integer_forward_relaxed_backward_ste,-2.14082388269641,0,1.3066692932539483,0.0001381886767706,10,0.7386796793949378,0.0074626604006714,0,2015-01-02,2015-04-01,10,32,4
4,socp,integer_forward_relaxed_backward_ste,-2.244453517224012,0,1.3747033548097225,0.0001383919602446,10,0.759937852960063,0.0076795991125347,0,2015-01-02,2015-04-01,10,32,4
1,sdp,integer_forward_relaxed_backward_ste,-2.0320153108810173,0,-0.056084822003677,0.0001223559751316,10,0.3072878406259753,0.0034569586722126,0,2015-01-02,2015-04-01,10,32,4
2,sdp,integer_forward_relaxed_backward_ste,-2.143106838723853,0,0.2289242324648878,0.0001192104896121,10,0.6023398947509758,0.0066242820236537,0,2015-01-02,2015-04-01,10,32,4
3,sdp,integer_forward_relaxed_backward_ste,-2.234304905730707,0,0.5715468063933097,0.0001161118258794,10,0.8898907033717312,0.0096612561356013,0,2015-01-02,2015-04-01,10,32,4
4,sdp,integer_forward_relaxed_backward_ste,-2.2965964017568057,0,0.6085867206851614,0.0001158974856699,10,0.9174318046454628,0.0099218351954025,0,2015-01-02,2015-04-01,10,32,4
